          21.585            0.301
          21.603            0.236
          21.639            0.208
          21.667            0.163
          21.714            0.182
          21.753            0.169
          21.803            0.151
          21.838            0.141
          21.852             0.13
          21.865            0.092
           21.93            0.099
              22            0.098
          22.041            0.092
          22.072            0.109
          22.123            0.097
          21.914            0.072
          21.929            0.067
          22.228            0.041
          22.351            0.039
          22.381            0.032
          22.455            0.027
          22.296             0.06
           22.36            0.059
          22.444            0.052
          22.524            0.051
          22.545             0.07
          22.479            0.085
          22.527            0.088
          22.581             0.11
           22.65             0.11
          22.626            0.124
          22.566            0.119
          22.696            0.149
          22.666            0.155
          22.736            0.157
          22.739            0.147
          22.711            0.166
          22.722            0.169
          22.808            0.192
          22.806            0.234
          22.878            0.243
          22.883            0.263
          22.895            0.271
          22.951            0.281
          22.996            0.293
          23.004            0.325
          23.036            0.349
          23.028            0.409
          23.093            0.439
          23.164            0.445
          23.171            0.475
           23.22            0.527
          23.258            0.576
          23.282            0.611
          23.321            0.643
          23.294            0.689
           23.34            0.726
           23.38            0.739
          23.376            0.768
          23.377            0.797
          23.405            0.848
          23.422            0.902
          23.449            0.929
            23.5            0.939
          23.519            0.974
          23.518            0.996
          23.571            1.018
          23.607            1.033
          23.672            1.014
          23.717            0.999
           23.73            0.985
          23.753            0.946
           23.75            0.886
          23.836             0.84
          23.858            0.792
          23.877            0.737
          23.917            0.675
          23.945            0.657
          23.968            0.638
          24.009            0.607
          24.024            0.556
          24.062            0.511
          24.065            0.453
          24.087            0.432
          24.165            0.421
          24.158            0.413
          24.176            0.376
          24.234            0.346
          24.221            0.311
          24.267             0.28
          24.306            0.263
          24.345            0.244
          24.373            0.227
          24.412            0.207
          24.416            0.205
          24.428            0.187
          24.478            0.145
          24.515             0.12
          24.541            0.116
          24.553            0.096
          24.595            0.071
          24.681            0.074
          24.668            0.064
          24.721            0.061
          24.719            0.053
          24.806            0.033
          24.777            0.026
          24.841            0.022
          24.901            0.003
          25.021            0.015
          25.027            0.017
          25.008            0.029
           25.03            0.029
          25.098            0.046
          25.102            0.065
          25.099            0.075
           25.18            0.079
          25.167            0.092
          25.204            0.112
          25.235            0.134
          25.251            0.156
          25.303            0.173
          25.343            0.183
          25.324            0.197
          25.352            0.224
          25.435            0.236
          25.453            0.247
          25.391            0.254
          25.455            0.277
          25.472            0.306
           25.53            0.327
          25.489            0.358
          25.517            0.387
          25.608            0.412
          25.588             0.44
          25.631            0.442
          25.635             0.46
          25.676              0.5
          25.668            0.537
          25.676            0.571
          25.691            0.615
           25.73            0.643
          25.807            0.652
          25.822            0.697
          25.888            0.751
          25.849            0.768
          26.046            0.765
          25.996            0.781
          26.047            0.791
          26.065            0.801
          26.145            0.801
           26.18            0.815
          26.233            0.811
          26.182            0.798
          26.235            0.796
          26.246            0.772
          26.288            0.745
          26.321            0.727
          26.352            0.722
          26.392            0.707
          26.404             0.69
          26.461            0.681
          26.454            0.673
          26.529             0.65
          26.547            0.612
           26.59            0.587
          26.658            0.559
          26.677            0.523
          26.666            0.475
          26.653            0.466
          26.673            0.458
          26.729            0.446
          26.755            0.419
          26.814            0.369
           26.83            0.345
          26.891            0.333
          26.875            0.307
          26.947            0.271
          26.989            0.246
          26.993            0.237
          27.076            0.201
          27.073            0.166
          27.174            0.163
          27.055            0.155
          27.202            0.145
