          51810.35713                35.92               35.244                34.92
          51810.36083                 35.9               35.226               34.905
          51810.36453               35.906               35.221               34.908
          51810.36823               35.889               35.209               34.891
          51810.37193                 35.9               35.217               34.896
          51810.37562               35.895               35.227               34.906
          51810.37933               35.866               35.214               34.895
          51810.38303               35.874               35.227               34.908
          51810.38672               35.844               35.219               34.896
          51810.39043               35.825               35.204               34.882
          51810.39413               35.796               35.195               34.873
          51810.39782               35.783               35.189               34.865
          51810.40153               35.769               35.183               34.862
          51810.40522               35.761               35.179               34.856
          51810.40892               35.755               35.175               34.856
          51810.41263               35.765               35.183               34.859
          51810.41632               35.765               35.181               34.858
          51810.42002               35.776               35.186               34.859
          51810.42373               35.773               35.179               34.857
          51810.42742               35.776               35.177               34.854
          51810.44301               35.827               35.197               34.874
          51810.45172               35.832               35.191               34.873
          51810.45543               35.827               35.198               34.878
          51810.45913               35.818               35.191               34.871
          51810.46282               35.817               35.187               34.867
          51810.46653               35.817               35.183               34.862
          51810.47023               35.822                35.19               34.869
          51810.47392               35.829               35.192               34.874
          51810.47763               35.831               35.187               34.871
          51810.48133               35.834               35.194               34.873
          51810.48502               35.842               35.198               34.878
          51810.48873               35.858               35.205               34.885
          51810.49243               35.873               35.214               34.891
          51810.49612               35.889               35.221               34.901
          51810.49983               35.892                35.22               34.896
          51810.50353               35.895               35.227               34.906
          51810.50722               35.901                35.23               34.907
          51810.51093                35.91               35.236               34.911
          51810.51463               35.915               35.241                34.92
          51810.51832                35.92               35.258               34.933
          51810.52426               35.919               35.272               34.952
          51810.52796               35.919               35.287               34.962
          51810.53166               35.922               35.291               34.971
