          51810.35713                    1                0.324                    0
          51810.36083                0.995                0.321                    0
          51810.36453                0.998                0.313                    0
          51810.36823                0.998                0.318                    0
          51810.37193                1.004                0.321                    0
          51810.37562                0.989                0.321                    0
          51810.37933                0.971                0.319                    0
          51810.38303                0.966                0.319                    0
          51810.38672                0.948                0.323                    0
          51810.39043                0.943                0.322                    0
          51810.39413                0.923                0.322                    0
          51810.39782                0.918                0.324                    0
          51810.40153                0.907                0.321                    0
          51810.40522                0.905                0.323                    0
          51810.40892                0.899                0.319                    0
          51810.41263                0.906                0.324                    0
          51810.41632                0.907                0.323                    0
          51810.42002                0.917                0.327                    0
          51810.42373                0.916                0.322                    0
          51810.42742                0.922                0.323                    0
          51810.44301                0.953                0.323                    0
          51810.45172                0.959                0.318                    0
          51810.45543                0.949                 0.32                    0
          51810.45913                0.947                 0.32                    0
          51810.46282                 0.95                 0.32                    0
          51810.46653                0.955                0.321                    0
          51810.47023                0.953                0.321                    0
          51810.47392                0.955                0.318                    0
          51810.47763                 0.96                0.316                    0
          51810.48133                0.961                0.321                    0
          51810.48502                0.964                 0.32                    0
          51810.48873                0.973                 0.32                    0
          51810.49243                0.982                0.323                    0
          51810.49612                0.988                 0.32                    0
          51810.49983                0.996                0.324                    0
          51810.50353                0.989                0.321                    0
          51810.50722                0.994                0.323                    0
          51810.51093                0.999                0.325                    0
          51810.51463                0.995                0.321                    0
          51810.51832                0.987                0.325                    0
          51810.52426                0.967                 0.32                    0
          51810.52796                0.957                0.325                    0
          51810.53166                0.951                 0.32                    0
